origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,pct_Other,Race,Poverty,latitude,longitude,origin_geoid_type
250251101034,700,15.71,38.57,68.0,16.29,Minority,High_poverty,42.292461,-71.1177229,HPM
250250501012,1468,23.09,38.69,64.31,12.6,Minority,High_poverty,42.3814369,-71.0412682,HPM
250250815002,1735,8.36,38.73,86.28,5.36,Minority,High_poverty,42.3182822,-71.0934554,HPM
250251004002,1423,18.55,39.74,80.82,0.63,Minority,High_poverty,42.2813767,-71.0679132,HPM
250250819004,1179,0.0,39.78,100.0,0.0,Minority,High_poverty,42.3123675,-71.0924702,HPM
250250402001,832,11.18,40.14,79.57,9.25,Minority,High_poverty,42.3778748,-71.0549345,HPM
250251605023,1322,17.17,40.83,71.18,11.65,Minority,High_poverty,42.3971583,-71.0264857,HPM
250250902001,513,2.53,43.08,96.3,1.17,Minority,High_poverty,42.30611,-71.0766991,HPM
250250801002,763,4.72,43.31,91.61,3.67,Minority,High_poverty,42.324919,-71.0769975,HPM
250250918001,1344,5.13,43.38,86.83,8.04,Minority,High_poverty,42.3089845,-71.0685274,HPM
250251010014,1460,0.0,43.48,100.0,0.0,Minority,High_poverty,42.2689983,-71.0968346,HPM
250251002002,664,2.26,43.98,97.74,0.0,Minority,High_poverty,42.282734,-71.0866759,HPM
250250812001,2279,2.41,44.1,97.28,0.31,Minority,High_poverty,42.3246501,-71.1017791,HPM
250250610002,1221,10.97,44.14,83.95,5.08,Minority,High_poverty,42.3313506,-71.0498369,HPM
250251404001,639,3.13,44.29,92.81,4.06,Minority,High_poverty,42.2649046,-71.10172,HPM
250250909011,1737,16.7,44.44,62.35,20.95,Minority,High_poverty,42.3210387,-71.0463848,HPM
250251403001,803,6.97,44.83,93.03,0.0,Minority,High_poverty,42.2572832,-71.1176781,HPM
250250924005,739,0.0,45.2,100.0,0.0,Minority,High_poverty,42.2965588,-71.0873677,HPM
250251003004,928,3.02,45.37,96.99,0.0,Minority,High_poverty,42.2827283,-71.0827279,HPM
250250903003,919,1.63,45.81,95.32,3.05,Minority,High_poverty,42.3128625,-71.0774734,HPM
250250503002,2056,32.34,45.82,53.6,14.06,Minority,High_poverty,42.3683358,-71.0414912,HPM
250250712012,1630,7.24,46.32,85.34,7.42,Minority,High_poverty,42.3392501,-71.0693494,HPM
250250804011,1440,14.79,46.65,80.7,4.51,Minority,High_poverty,42.3318157,-71.0793002,HPM
250250804012,1600,2.94,46.69,92.25,4.81,Minority,High_poverty,42.3327277,-71.0841251,HPM
250251011011,877,2.96,47.32,97.03,0.01,Minority,High_poverty,42.2856638,-71.0940345,HPM
250250002024,874,11.9,47.71,82.84,5.26,Minority,High_poverty,42.3561065,-71.1518657,HPM
250251001005,689,1.45,48.31,98.55,0.0,Minority,High_poverty,42.2862563,-71.0921627,HPM
250250903002,1411,4.32,48.55,95.68,0.0,Minority,High_poverty,42.3098921,-71.077739,HPM
250250610003,679,42.27,48.9,50.37,7.36,Minority,High_poverty,42.3304948,-71.0513801,HPM
