measure,n,mean_ratio,SD,median_ratio,Q1,Q3
HPM_to_LPW,16,0.028072664937500002,0.01718051390709109,0.0272316805,0.0186735305,0.0320335265
LPW_to_HPM,16,0.01774749775,0.011158596243232578,0.014374436,0.01215696225,0.02316158025
HPM_to_LPW_minus_LPW_to_HPM,16,0.0103251671875,0.011915492864844942,0.0068852905,0.0007352012500000012,0.01462016925
