sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,model,direction,city_count,mean_R,sd_R,median_R,mean_blockage_rate,sd_blockage_rate,median_blockage_rate,mean_FA,sd_FA,median_FA,delta_mean_R,delta_mean_blockage,delta_mean_FA
poverty_threshold,P20,20,50,Gravity,HPM_to_LPW,16,1.0089933357677519,0.23442936650836912,1.0136703872920867,0.39415089718825985,0.1867618044263479,0.3597233048119687,0.6956661153464643,0.04515257672847203,0.6919782973743498,0.011059292156751055,-0.004585004900119982,-0.00643922391555285
poverty_threshold,P20,20,50,Gravity,LPW_to_HPM,16,0.5685461479428813,0.1004332485580355,0.5585513205928183,0.5252109730244585,0.15671162359688653,0.4824659558487144,0.6956661153464643,0.04515257672847203,0.6919782973743498,0.0142564492175552,-0.0006797691997417754,-0.00643922391555285
poverty_threshold,P20,20,50,IOM,HPM_to_LPW,16,1.2758715235893305,0.47195351439076383,1.2045705974636949,0.35543111301638824,0.14832835467632036,0.3581040431212357,0.6956661153464643,0.04515257672847203,0.6919782973743498,-0.00035788002862346957,-0.005117383389314667,-0.00643922391555285
poverty_threshold,P20,20,50,IOM,LPW_to_HPM,16,0.6553663838537503,0.13688329778562852,0.6778862995808911,0.5073044759533918,0.127316651902918,0.481994812664729,0.6956661153464643,0.04515257672847203,0.6919782973743498,-0.004388125510749186,-0.0020239221468034696,-0.00643922391555285
poverty_threshold,P20,20,50,Choice_IOM,HPM_to_LPW,16,1.1197846696889833,0.31463418605332144,1.095502328126904,0.3389706872991476,0.14861045032138823,0.30427515125808335,0.6956661153464643,0.04515257672847203,0.6919782973743498,-0.016934642903747354,-0.00593745878673646,-0.00643922391555285
poverty_threshold,P20,20,50,Choice_IOM,LPW_to_HPM,16,0.6731402984471462,0.1449053282315086,0.6916343218876582,0.48794698348577303,0.13136206898556996,0.4419703805546211,0.6956661153464643,0.04515257672847203,0.6919782973743498,-0.0023152077656057868,-0.002603588280082225,-0.00643922391555285
poverty_threshold,P25,25,50,Gravity,HPM_to_LPW,16,1.0003907022855576,0.2216639288173493,1.0167583933167568,0.39599333673935866,0.18595321415566923,0.3584213985830689,0.70238921613523,0.047845480121532,0.6976006434486357,0.0024566586745567998,-0.0027425653490211754,0.0002838768732128516
poverty_threshold,P25,25,50,Gravity,LPW_to_HPM,16,0.5735111582202048,0.12602369363816862,0.5583279615089013,0.5249658566066692,0.15505586784009134,0.4683517929347504,0.70238921613523,0.047845480121532,0.6976006434486357,0.019221459494878745,-0.0009248856175311237,0.0002838768732128516
poverty_threshold,P25,25,50,IOM,HPM_to_LPW,16,1.2721735113332255,0.461933304983912,1.18832631815053,0.35723121602076346,0.14697844624120723,0.3584213985830689,0.70238921613523,0.047845480121532,0.6976006434486357,-0.004055892284728468,-0.003317280384939447,0.0002838768732128516
poverty_threshold,P25,25,50,IOM,LPW_to_HPM,16,0.6698232501221347,0.17450424114929153,0.7070313649472053,0.50764188835339,0.12567420609059574,0.4678873406341113,0.70238921613523,0.047845480121532,0.6976006434486357,0.010068740757635197,-0.001686509746805287,0.0002838768732128516
