panel,sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,threshold_value,model,model_name,direction,direction_label,mean_R,sem_R,sd_R,median_R,delta_mean_R_vs_baseline,city_count,Los Angeles,San Diego,"Washington, D.C",Miami,Atlanta,Chicago,Boston,Detroit,New York,Pittsburgh,Philadelphia,Dallas,San Francisco,Houston,Phoenix,St. Louis
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,1.008993335767752,0.058607341627092274,0.2344293665083691,1.0136703872920867,0.011059292156751,16,1.1260028210499058,1.006632359606098,1.125350706620212,1.370654380145135,0.9847470165559276,1.2198079133158644,1.042528086038489,0.8527038954898939,1.258118687110184,0.8360117940352706,1.2579620011365875,0.9694699815777096,0.98874576107947,1.0207084149780756,0.4979856094082588,0.5864639441369484
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,0.5685461479428813,0.025108312139508874,0.1004332485580355,0.5585513205928183,0.0142564492175552,16,0.4599932170985951,0.6436237914759178,0.5122677783332951,0.7947414527225691,0.6642865344033283,0.5909241235851898,0.4480553940032086,0.5261785176004469,0.4758941099778032,0.5965321775457786,0.6438236846295562,0.525129324157785,0.6041848539984249,0.6823511475765689,0.4834383847698494,0.4453138752077843
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,1.2758715235893303,0.11798837859769094,0.4719535143907638,1.2045705974636949,-0.0003578800286234,16,1.875655905115372,1.130384397035318,1.019932264261966,1.6921315540046111,1.3199355324222042,1.8937501359584017,1.2066838729128522,1.214805163862094,2.2361148048827806,0.9455699578059316,1.5566398702085489,1.0681930608779515,0.9607760102757718,1.2024573220145376,0.4986987408259389,0.5922157849650105
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,0.6553663838537503,0.03422082444640712,0.1368832977856285,0.6778862995808911,-0.0043881255107491,16,0.6766745086052994,0.692942188818595,0.5321795142744649,0.7831938729546468,0.8642122205297073,0.891752853579573,0.432149804626007,0.6868228436335819,0.7504036738846069,0.6724661245459899,0.6790980905564827,0.5724431006728774,0.6108191174677824,0.7147917138235866,0.4857742021113436,0.4401383115754609
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,1.1197846696889833,0.07865854651333035,0.3146341860533214,1.095502328126904,-0.0169346429037473,16,1.5351909376821424,0.9858291969659224,1.1477186811046425,1.3481478215808338,1.3366745629683163,1.4636784333658508,1.0620889491002208,0.9766949567782864,1.6380516974369292,0.8733164357651945,1.2886913845680408,1.0909227642002035,0.989166385748738,1.1000818920536048,0.4939720126569252,0.5863286030478815
Panel A: Poverty Sensitivity,poverty_threshold,P20,20,50,20,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,0.6731402984471462,0.03622633205787715,0.1449053282315086,0.6916343218876582,-0.0023152077656057,16,0.7994481110790322,0.7803588975935584,0.5069905519592333,0.8876923850335201,0.8880968534964667,0.763736010391987,0.4883783181920261,0.6875973736568527,0.6516698158163938,0.7694559306467736,0.6956712701184636,0.5664351635953151,0.5751574806135479,0.7709703519344343,0.4938449514255889,0.4447413096011449
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,1.0003907022855576,0.05541598220433733,0.2216639288173493,1.0167583933167568,0.0024566586745567,16,1.13260193427853,1.0420088304271102,1.1875661784961138,1.341113480819318,0.9614357856026328,1.2211958778161305,1.0234077589349713,0.833922466017634,1.19479532665146,0.8292097024316091,1.1675424965477206,0.9573606673001188,0.9789675752509044,1.0101090276985425,0.5023153495096663,0.6226987787864591
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,0.5735111582202048,0.03150592340954215,0.1260236936381686,0.5583279615089013,0.0192214594948787,16,0.4330655941459349,0.7793501517134419,0.5208150788488628,0.7940067447087863,0.6712570497769327,0.6125839892166954,0.4338658575872073,0.5563898985052022,0.5014761648717253,0.6619175145887023,0.6588209925721781,0.5602660245126004,0.3972185439133992,0.688135790127773,0.4673946429921323,0.4396144934417015
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,1.2721735113332255,0.115483326245978,0.461933304983912,1.18832631815053,-0.0040558922847284,16,2.0102376332930727,1.1959722167624045,1.0607449768631485,1.6945446210953825,1.3253053101313006,1.9786033951340367,1.2067157137997298,1.162621413606216,2.0439502631564097,0.926496636902164,1.43529113949193,1.0512846952200543,0.9520497443603884,1.180680419538655,0.5028430976245717,0.6274349043521432
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,0.6698232501221347,0.043626060287322875,0.1745042411492915,0.7070313649472053,0.0100687407576351,16,0.6808157862401871,0.8498117248533165,0.5415254280262655,0.7811845657732509,0.8956991737877583,0.9761752496119848,0.4165296533777755,0.7171599058093113,0.7753816576889879,0.7349315246224175,0.6969028240850993,0.6121087402969486,0.4092972292197984,0.7224278472409806,0.4701131077225464,0.4371075835975264
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,1.123530457892981,0.07892397177331617,0.3156958870932647,1.0889115454175076,-0.0131888546997496,16,1.6597834394568736,1.036897125629349,1.198232521729971,1.3290765283416746,1.3576759693631768,1.5029637934157185,1.0664966551631188,0.9532520586302364,1.5421523599236842,0.8629606054190938,1.2003229354156768,1.084632216714648,0.9728265989769626,1.0931908741203673,0.4979745366623719,0.6180491073247738
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,0.6885830162665871,0.0468420617813333,0.1873682471253332,0.7168504248196339,0.0131275100538351,16,0.8061164967911826,0.9499281204972316,0.5100254224328189,0.9101252364652924,0.9263056532141573,0.8148439604483736,0.4802174164743433,0.7169739970881897,0.6737927307952691,0.8345934449700779,0.7167268525510782,0.6043829959890586,0.3715594356456488,0.7860379995801182,0.4796496490659208,0.4360488482566325
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,0.9979340436110008,0.05616344957869687,0.2246537983147875,1.0089507447592905,0.0,16,1.1419841472380603,1.021092006260449,1.2396272030111632,1.3011259725835356,0.9725085644619652,1.2170566086690655,1.0663536337188624,0.8822273239179913,1.1481835534967566,0.8251049073094321,1.1550042464247603,0.9521047839348504,0.982445289460314,0.9968094832581316,0.476704057017707,0.5886129170129683
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,0.5542896987253261,0.0248888755150768,0.0995555020603072,0.5481376742816992,0.0,16,0.4709207012458803,0.7618179689174482,0.6287903193540229,0.5305470138311773,0.5566891468315484,0.6014652585370672,0.4781294744100196,0.5590344997334394,0.5395862017318501,0.6547643406569357,0.6637445635800341,0.4976677868225468,0.3992238961054806,0.6470148639482177,0.4442706862334406,0.4349684576661092
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,1.276229403617954,0.12113729735695165,0.4845491894278066,1.1880500795581757,0.0,16,2.291534028812919,1.1455478179094425,1.089143079569744,1.722191754857885,1.3245506028515035,1.947070648983953,1.2073858082823363,1.1993882582193454,1.886931349351756,0.9214205968060816,1.4120754547196717,1.068440111388084,0.9566202484168088,1.176711900897006,0.4778363940588148,0.5928224027619131
