Feature,MDI_Importance,Permutation_Importance_Mean,Permutation_Importance_SD
Delta_Pop_Density,0.16764848772449797,0.24349990479167433,0.0013791467850702076
Delta_Job_Density,0.1619015117402919,0.17570842156861016,0.001225686578654934
Delta_Edu_College,0.12514841469222482,0.1320199329140958,0.0010407946768182551
Delta_Race_White,0.1730243357843873,0.12047408090577574,0.0007608944739809257
Log_Distance,0.13101002324513883,0.11737484601767459,0.000636583375732981
Delta_POI_Count,0.08984514434198768,0.05502109281954071,0.0004693293788479151
Delta_Housing_Owner,0.060057495637754324,0.039303935725842856,0.000297242293310645
Delta_Age_65plus,0.04841922001542583,0.023115849097458653,0.00029074898306985633
Delta_Poverty,0.04294536681829137,0.013325320292556331,0.00015434152762865174
