city,origin_geoid,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_NH_White_alone_ACS_15_19,total_flow,od_flow,do_flow,num_connections,weighted_avg_asymmetry,net_flow
New York,360810166002,7.63,0.0,70936.0,40261.0,30675.0,3922,0.6024585541896921,9586.0
New York,360810168001,17.2,1.9,44921.0,35504.0,9417.0,2917,0.728901849914294,26087.0
New York,360810168002,7.35,3.16,99951.0,55374.0,44577.0,3410,0.4400656321597583,10797.0
New York,360810169001,0.0,53.37,40770.0,29778.0,10992.0,2798,0.7356880058866814,18786.0
New York,360810169002,6.43,44.44,30459.0,21299.0,9160.0,2250,0.6814734561213435,12139.0
New York,360810169003,8.43,25.03,35970.0,26640.0,9330.0,2420,0.7001390047261606,17310.0
New York,360810169004,14.06,38.43,31235.0,24083.0,7152.0,2134,0.702257083400032,16931.0
New York,360810170001,15.6,0.94,55501.0,40849.0,14652.0,3086,0.6620601430604854,26197.0
New York,360810170002,7.6,2.14,49209.0,28795.0,20414.0,2622,0.5946269991261761,8381.0
New York,360810172001,1.88,0.68,52115.0,35981.0,16134.0,2645,0.6200326201669385,19847.0
New York,360810172002,21.28,2.83,35943.0,21966.0,13977.0,3296,0.6334752246612693,7989.0
New York,360810174001,6.88,2.13,45348.0,26421.0,18927.0,3058,0.6148893005204199,7494.0
New York,360810174002,8.62,0.47,47786.0,38001.0,9785.0,2698,0.7152304022098522,28216.0
New York,360810176001,10.54,3.91,51198.0,39895.0,11303.0,3077,0.6998320246884644,28592.0
New York,360810176002,19.25,7.64,36452.0,29138.0,7314.0,2809,0.7510699001426534,21824.0
New York,360810178001,5.18,3.75,53083.0,28175.0,24908.0,2906,0.584612776218375,3267.0
New York,360810178002,7.63,0.48,41987.0,34143.0,7844.0,2853,0.7614023388191583,26299.0
New York,360810179001,20.29,43.91,125205.0,16705.0,108500.0,5328,0.8206141927239328,-91795.0
New York,360810179002,24.33,13.5,262780.0,25980.0,236800.0,5646,0.8468757135246213,-210820.0
New York,360810180001,24.51,9.26,85375.0,43319.0,42056.0,4129,0.6159297218155197,1263.0
New York,360810181011,7.81,26.0,32888.0,22928.0,9960.0,2414,0.6673558744830942,12968.0
New York,360810181012,10.68,45.45,39995.0,22570.0,17425.0,3113,0.6103512939117389,5145.0
New York,360810181013,16.64,30.97,47930.0,18490.0,29440.0,3718,0.6457333611516796,-10950.0
New York,360810181021,9.32,53.69,45795.0,29432.0,16363.0,2941,0.5958510754449176,13069.0
New York,360810181022,10.2,55.71,63900.0,28671.0,35229.0,3629,0.5765884194053208,-6558.0
New York,360810181023,9.42,42.63,36868.0,23569.0,13299.0,2680,0.6121840078116524,10270.0
New York,360810182001,19.98,3.04,70062.0,46802.0,23260.0,3606,0.5878507607547601,23542.0
New York,360810182002,13.17,0.68,57448.0,41175.0,16273.0,3683,0.6772733602562317,24902.0
New York,360810183001,1.79,61.02,18549.0,12655.0,5894.0,1730,0.7338940104587849,6761.0
New York,360810183002,5.84,25.55,33898.0,23205.0,10693.0,2148,0.6111275001475013,12512.0
New York,360810183003,9.87,42.5,66469.0,34942.0,31527.0,3552,0.5307586995441484,3415.0
New York,360810183004,7.53,41.54,56571.0,30029.0,26542.0,3465,0.5900726520655459,3487.0
New York,360810183005,11.17,48.34,76939.0,16270.0,60669.0,4028,0.7493598825043216,-44399.0
New York,360810184011,14.86,0.0,84582.0,50175.0,34407.0,3872,0.5578964791563217,15768.0
New York,360810184021,19.22,8.86,54278.0,36068.0,18210.0,3272,0.638527580235086,17858.0
New York,360810184022,4.75,0.0,55877.0,31134.0,24743.0,3323,0.6848792884371029,6391.0
New York,360810185011,37.3,59.19,21666.0,16190.0,5476.0,2079,0.7062678851656974,10714.0
New York,360810185012,7.57,37.65,31054.0,25255.0,5799.0,2165,0.7781928254009145,19456.0
New York,360810185013,13.05,28.03,39859.0,27895.0,11964.0,2529,0.6787676559873554,15931.0
New York,360810185021,18.09,68.44,14985.0,11541.0,3444.0,1491,0.7241241241241241,8097.0
New York,360810185022,16.03,25.3,38280.0,27246.0,11034.0,2650,0.7086729362591432,16212.0
New York,360810185023,4.63,73.7,39262.0,15343.0,23919.0,2860,0.68631246497886,-8576.0
New York,360810186001,14.03,1.71,65710.0,51055.0,14655.0,3759,0.6820270887231776,36400.0
New York,360810187001,3.0,11.35,40377.0,29843.0,10534.0,3023,0.7552071724001288,19309.0
New York,360810187002,7.78,39.88,29423.0,22847.0,6576.0,2430,0.7762294803385107,16271.0
New York,360810187003,3.76,51.44,34834.0,21737.0,13097.0,3486,0.7222254119538382,8640.0
