city,overall_mobility_asymmetry,mobility_gini_coefficient,mobility_coefficient_variation,asymmetry_std,Tot_Population_ACS_15_19
Phoenix,0.6361222239485665,0.8327690388684175,5.859664713661964,0.0137564463471985,4328729
Los Angeles,0.6570502723608529,0.8302849511134829,6.380937939491801,0.0116107319751575,10080801
San Diego,0.6526981331056146,0.8469866049726189,6.417878304068895,0.0131888159234877,3316050
San Francisco,0.5957692036311404,0.7667592637722951,3.3371189033470308,0.018777343319433,874898
"Washington, D.C",0.5496422437878374,0.7807008627336716,3.784830565456948,0.0244905276283707,692625
Miami,0.6118368853725477,0.8255302776376587,5.262748364098486,0.0119569370557896,2699168
Atlanta,0.5619249001256472,0.8382067129746078,4.803840745848912,0.0119103871954434,1036200
Chicago,0.6323978933351667,0.8246770567532626,6.232578152637341,0.0139611230979052,5197952
Boston,0.5897287675868549,0.7966986631692075,4.101105114383207,0.0157606747380586,796502
Detroit,0.6010732535160535,0.8296625568317688,7.2349339240155075,0.0173598093496008,1756880
St. Louis,0.5422212090617875,0.7450329539929845,4.775371923985224,0.0123273275496199,308107
New York,0.6521470554999519,0.8104944944370589,6.049702750797799,0.0108775065914618,8418220
Pittsburgh,0.6271726730037132,0.839538445908337,5.295794338584787,0.0128859157267569,1221670
Philadelphia,0.5955940299586896,0.8049272227352848,5.886832520812605,0.0181612885323301,1578959
Dallas,0.606526109844949,0.8302643117608257,5.468083782792555,0.0175784020220828,2606644
Houston,0.5815789901761138,0.8539524360822233,8.10391775513063,0.0102159486325775,4646533
