city,bin_id,city_bin_median_R,city_bin_n
Phoenix,0,0.4698403379166883,7093
Phoenix,1,0.3977109349428428,13807
Phoenix,2,0.3493716158445967,26835
Phoenix,3,0.3656154161543169,40914
Phoenix,4,0.4500229286682157,44371
Phoenix,5,0.6737852170200924,32952
Phoenix,6,1.1174633121899724,22360
Phoenix,7,1.5629078212596097,13337
Phoenix,8,2.173721116262644,6265
Phoenix,9,3.758560603355289,2356
Los Angeles,0,0.7191516857941033,9112
Los Angeles,1,0.7590129370719074,15199
Los Angeles,2,0.7839703157479647,22863
Los Angeles,3,0.7194490464032537,28194
Los Angeles,4,0.7592972627903155,26759
Los Angeles,5,0.8923663058540242,22804
Los Angeles,6,1.0845626640337551,17094
Los Angeles,7,1.537467402299599,11085
Los Angeles,8,2.694133622726158,6454
Los Angeles,9,4.588496791040278,3712
San Diego,0,0.6617146333035295,2309
San Diego,1,0.4720277533437856,3753
San Diego,2,0.4414470191841842,5643
San Diego,3,0.5016728080915906,6892
San Diego,4,0.5414825942672192,6126
San Diego,5,0.6222118896142123,4508
San Diego,6,0.8030490165058684,2513
San Diego,7,3.616989724132194,1495
San Diego,8,13.07126048619162,888
San Diego,9,22.521556636050832,475
San Francisco,3,0.1740195333445788,57
San Francisco,4,0.1850913718320352,124
San Francisco,5,0.1964792545554627,217
San Francisco,6,0.2884715586875555,209
San Francisco,7,0.3255608339456712,134
San Francisco,8,0.3926013173795766,76
"Washington, D.C",1,0.3202493242488778,174
"Washington, D.C",2,0.4793987011416835,378
"Washington, D.C",3,0.4768945398189536,628
"Washington, D.C",4,0.3766640034555414,946
"Washington, D.C",5,0.3840359914846183,1286
"Washington, D.C",6,0.4856546684044021,1244
"Washington, D.C",7,0.607788141505855,842
"Washington, D.C",8,0.8138600732184693,547
"Washington, D.C",9,0.957212001264606,342
Miami,0,0.255799333493321,500
Miami,1,0.2514022968717208,971
Miami,2,0.2682213476708527,1518
Miami,3,0.2999939326227125,2155
Miami,4,0.3292409054607786,2227
Miami,5,0.3391673016363078,1957
Miami,6,0.3308505704976693,1711
Miami,7,0.3089787677679682,1476
Miami,8,0.3992366745051316,1190
Miami,9,0.4971724181114764,822
Atlanta,0,0.3600459850732132,233
Atlanta,1,0.4368083121250858,576
Atlanta,2,0.5828812221414543,1102
Atlanta,3,0.7180603233870619,1786
Atlanta,4,0.7333549032286512,2411
Atlanta,5,0.6225661554360918,2497
Atlanta,6,0.4358795089555802,2131
Atlanta,7,0.3127555155147303,1406
Atlanta,8,0.2890724858324588,769
Atlanta,9,0.2641299225652592,348
Chicago,0,3.544917651562952,5039
Chicago,1,2.5713749398941084,10735
Chicago,2,1.8701026686365072,18223
Chicago,3,1.4848618336063832,26607
Chicago,4,1.239070192076806,31972
Chicago,5,1.208006793794829,30254
Chicago,6,1.3494366102152346,24813
Chicago,7,1.9927509863763493,19282
Chicago,8,3.11445871653153,13316
Chicago,9,4.146998086026922,8122
Boston,0,0.4952017427139733,155
Boston,1,0.510179018283865,404
Boston,2,0.6123151624629578,921
Boston,3,0.6631860364429215,1565
Boston,4,0.5148208142226104,1934
Boston,5,0.4562870886144774,1792
Boston,6,0.478358121851208,1249
Boston,7,0.5111004962519863,866
Boston,8,0.7562151875735196,438
Boston,9,1.2494730443127866,192
Detroit,0,1.654681258749126,2051
Detroit,1,1.7751647352874362,4813
Detroit,2,1.588542163086094,9129
Detroit,3,1.0689128087821878,16429
Detroit,4,0.9349739700067106,24866
Detroit,5,1.0753462883885183,27551
Detroit,6,1.2753052443102246,21761
Detroit,7,1.4537757463684684,11829
Detroit,8,1.749182442420938,4542
Detroit,9,1.6411710418511731,1454
St. Louis,1,0.3830482751910742,75
St. Louis,2,0.3953670363524175,243
St. Louis,3,0.2936889827816883,662
St. Louis,4,0.4835159571555314,1204
St. Louis,5,0.9600349670010684,1752
St. Louis,6,1.5062092385300043,1868
St. Louis,7,2.0026876067682857,1271
St. Louis,8,2.9433100394223404,714
St. Louis,9,7.195061245064951,528
New York,0,2.3179574561630805,9846
New York,1,1.7374000864158792,18280
New York,2,1.4498027901714587,28072
New York,3,1.1754996255445938,39483
New York,4,0.988509816291968,47560
New York,5,0.9098486357612572,47617
New York,6,1.0261978037314603,38877
New York,7,1.3496150897763963,26623
New York,8,2.045460356421468,16009
New York,9,2.9134507859974352,8992
Pittsburgh,0,0.4763243175678025,540
Pittsburgh,1,0.4124995617192156,1515
Pittsburgh,2,0.4643327766200308,2758
Pittsburgh,3,0.4285855054779223,4055
Pittsburgh,4,0.462042941346883,5013
Pittsburgh,5,0.5726960295556962,5215
Pittsburgh,6,0.5526522888647192,4637
Pittsburgh,7,0.5493904787333691,3153
Pittsburgh,8,0.5976055737476649,1789
Pittsburgh,9,0.6326303123548902,737
Philadelphia,0,0.5567197183443598,1359
Philadelphia,1,0.7018975429229062,3126
Philadelphia,2,0.7355096386595629,5884
Philadelphia,3,0.8794285824842452,9445
Philadelphia,4,0.8306370218201327,12028
Philadelphia,5,0.7141898087971044,12715
Philadelphia,6,0.591858395420243,10550
Philadelphia,7,0.5871659058013625,6912
Philadelphia,8,0.8044996200080134,3421
Philadelphia,9,1.3793658572239562,1454
Dallas,0,0.0976443132573568,1048
Dallas,1,0.1592775002691789,1879
Dallas,2,0.22393997080786,3498
Dallas,3,0.3128269389057276,5840
Dallas,4,0.3775326297836074,7280
Dallas,5,0.4984535021851059,6688
Dallas,6,0.6032329515999809,5117
Dallas,7,0.7177043794799706,3535
Dallas,8,1.0649511946793824,2416
Dallas,9,2.7209903721361948,1556
Houston,0,0.4797258270952985,4327
Houston,1,0.4043186064197754,8124
Houston,2,0.4055282644360711,13036
Houston,3,0.4583981422092141,18048
Houston,4,0.4765820353423023,22551
Houston,5,0.5209200041121426,22581
Houston,6,0.5895425179537801,17811
Houston,7,0.7620262990516328,12139
Houston,8,1.2034557231103722,6850
Houston,9,1.8044717149263223,3050
