bin_id,bin_center,bin_left,bin_right,median_across_cities,iqr_low_across_cities,iqr_high_across_cities,n_cities,total_active_paths_in_valid_city_bins,min_city_bin_n,max_city_bin_n
0,-0.9984126748178546,-1.0958319679909665,-0.9009933816447426,0.4952017427139733,0.4698403379166883,0.7191516857941033,13,43612,155,9846
1,-0.8035740884716307,-0.9009933816447426,-0.7061547952985187,0.4368083121250858,0.3903796050669585,0.7304552399974068,15,83431,75,18280
2,-0.6087355021254066,-0.7061547952985187,-0.5113162089522947,0.4793987011416835,0.40044765039424435,0.7597399772037638,15,140103,243,28072
3,-0.41389691577918275,-0.5113162089522947,-0.3164776226060708,0.4892836739552721,0.35241829684216963,0.7594439304235016,16,202760,57,40914
4,-0.2190583294329589,-0.3164776226060708,-0.12163903625984696,0.4991683856890709,0.4319003539470636,0.7771322025477698,16,237372,124,47560
5,-0.024219743086734913,-0.12163903625984696,0.07319955008637713,0.622389022525152,0.4879118987924488,0.8967368883308324,16,222386,217,47617
6,0.17061884325948906,0.07319955008637713,0.268038136432601,0.5975456735101119,0.4838305317661036,1.0927878260728094,16,173945,209,38877
7,0.3654574296057129,0.268038136432601,0.46287672277882486,0.7398653392658017,0.5398179831130234,1.5438275070396017,16,115385,134,26623
8,0.5602960159519368,0.46287672277882486,0.6577153091250487,1.1342034588948773,0.7165627841170559,2.3038242428785223,16,65684,76,16009
9,0.7551346022981608,0.6577153091250487,0.8525538954712728,1.8044717149263225,1.1033425227886964,3.9527793446911055,15,34140,192,8992
