Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/5/14,Tuesday,7642,0.9057838262235016
2019/5/15,Wednesday,7918,0.908057590300581
2019/5/16,Thursday,8199,0.9148676667886328
2019/5/17,Friday,8460,0.9056737588652484
2019/5/18,Saturday,7177,0.9161209418977287
2019/5/19,Sunday,5762,0.9114890662964248
2019/5/20,Monday,6969,0.9239489166307936
2019/5/21,Tuesday,7068,0.932088285229202
2019/5/22,Wednesday,7459,0.923582249631318
2019/5/23,Thursday,7537,0.9203927292026004
2019/5/24,Friday,7770,0.9209781209781208
2019/5/25,Saturday,6868,0.9143855562026793
2019/5/26,Sunday,5532,0.920824295010846
2019/5/27,Monday,4714,0.9155706406448876
2019/5/28,Tuesday,7008,0.9175228310502284
2019/5/29,Wednesday,7177,0.9197436254702522
2019/5/30,Thursday,7249,0.9197130638708788
2019/5/31,Friday,7783,0.9185404085828088
2019/6/1,Saturday,6540,0.9229357798165138
2019/6/2,Sunday,5797,0.9265137139899948
2019/6/3,Monday,7244,0.924351187189398
2019/6/4,Tuesday,7412,0.9349703184025904
2019/6/5,Wednesday,7301,0.9353513217367484
2019/6/6,Thursday,7538,0.9288936057309632
2019/6/7,Friday,7723,0.9313738184643272
2019/6/8,Saturday,6654,0.9263600841599038
2019/6/9,Sunday,5436,0.9282560706401766
2019/6/10,Monday,6999,0.9239891413059008
2019/6/11,Tuesday,7357,0.9157265189615332
2019/6/12,Wednesday,7660,0.9148825065274152
2019/6/13,Thursday,7170,0.9216178521617852
2019/6/14,Friday,8054,0.9252545319096102
2019/6/15,Saturday,6691,0.9204902107308324
2019/6/16,Sunday,5335,0.9149015932521088
2019/6/17,Monday,6896,0.925754060324826
2019/6/18,Tuesday,7309,0.9362429880968668
2019/6/19,Wednesday,7057,0.9231968258466772
2019/6/20,Thursday,6790,0.9237113402061856
2019/6/21,Friday,7661,0.9169821172170736
2019/6/22,Saturday,6574,0.9199878308487984
2019/6/23,Sunday,5593,0.9098873591989988
2019/6/24,Monday,6763,0.917196510424368
2019/6/25,Tuesday,6501,0.9313951699738502
2019/6/26,Wednesday,6653,0.9233428528483392
2019/6/27,Thursday,6999,0.9288469781397344
2019/6/28,Friday,7449,0.9269700630957176
2019/6/29,Saturday,6375,0.919686274509804
2019/6/30,Sunday,5110,0.9409001956947164
2019/7/1,Monday,6695,0.9262135922330096
2019/7/2,Tuesday,6708,0.9159212880143112
2019/7/3,Wednesday,6999,0.911701671667381
2019/7/4,Thursday,4794,0.9002920317062996
2019/7/5,Friday,6415,0.920187061574435
2019/7/6,Saturday,5836,0.9136394790952708
2019/7/7,Sunday,5004,0.9332533972821744
2019/7/8,Monday,6586,0.9213483146067416
2019/7/9,Tuesday,6511,0.9235140531408386
2019/7/10,Wednesday,6688,0.9216507177033492
